step,crossentropy,val crossentropy,res loss,val res loss,adv loss,val adv loss,resnet_acc,val resnet_acc,resnet_precission,val resnet_precission,resnet_recall,val resnet_recall,resnet_f1-score,val resnet_f1-score,adv_acc,val adv_acc,adv_precission,val adv_precission,adv_recall,val adv_recall,adv_f1-score,val adv_f1-score
1,0.189554502757696,0.05830654874444008,0.2992316438601567,0.11848178505897522,1.0967713640286372,0.6017523606618246,0.8786057692307693,0.96875,0.8786057692307693,0.96875,0.8786057692307693,0.96875,0.8786057692307693,0.96875,0.5120192307692307,0.8854166666666666,0.5120192307692307,0.8854166666666666,0.5120192307692307,0.8854166666666666,0.5120192307692307,0.8854166666666666
2,0.062218040586091004,0.024221638838450115,0.10644040571955535,0.06132435301939646,0.44222365147792375,0.3710271368424098,0.96875,1.0,0.96875,1.0,0.96875,1.0,0.96875,1.0,0.8605769230769231,0.8541666666666666,0.8605769230769231,0.8541666666666666,0.8605769230769231,0.8541666666666666,0.8605769230769231,0.8541666666666666
3,0.06426158934258498,0.034219324588775635,0.08771868651876083,0.07108830412228902,0.23457097405424485,0.3686897854010264,0.9795673076923077,0.9791666666666666,0.9795673076923077,0.9791666666666666,0.9795673076923077,0.9791666666666666,0.9795673076923077,0.9791666666666666,0.9230769230769231,0.8645833333333334,0.9230769230769231,0.8645833333333334,0.9230769230769231,0.8645833333333334,0.9230769230769231,0.8645833333333334
4,0.029635239428339098,0.04278052660326163,0.05051075509534432,0.06642031421264012,0.20875514957767266,0.2363978698849678,0.9915865384615384,0.9791666666666666,0.9915865384615384,0.9791666666666666,0.9915865384615384,0.9791666666666666,0.9915865384615384,0.9791666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231,0.9166666666666666
5,0.03860339199980864,0.05100036102036635,0.05158068597889864,0.06451225901643436,0.12977293878793716,0.1351189718892177,0.9891826923076923,0.96875,0.9891826923076923,0.96875,0.9891826923076923,0.96875,0.9891826923076923,0.96875,0.9543269230769231,0.9583333333333334,0.9543269230769231,0.9583333333333334,0.9543269230769231,0.9583333333333334,0.9543269230769231,0.9583333333333334
6,0.02546641560128102,0.018774731705586117,0.042623744847682804,0.03424182223776976,0.17157329239237767,0.15467090904712677,0.9939903846153846,0.9895833333333334,0.9939903846153846,0.9895833333333334,0.9939903846153846,0.9895833333333334,0.9939903846153846,0.9895833333333334,0.9423076923076923,0.9479166666666666,0.9423076923076923,0.9479166666666666,0.9423076923076923,0.9479166666666666,0.9423076923076923,0.9479166666666666
7,0.03275524171140905,0.027254894996682804,0.04226015601307154,0.033639991035064064,0.09504913775107035,0.06385094734529655,0.9927884615384616,0.9895833333333334,0.9927884615384616,0.9895833333333334,0.9927884615384616,0.9895833333333334,0.9927884615384616,0.9895833333333334,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875,0.96875
8,0.04934679505486901,0.018298109682897728,0.057599991954003386,0.02491024850557248,0.08253196540933389,0.06612138915807009,0.9819711538461539,1.0,0.9819711538461539,1.0,0.9819711538461539,1.0,0.9819711538461539,1.0,0.9711538461538461,0.9791666666666666,0.9711538461538461,0.9791666666666666,0.9711538461538461,0.9791666666666666,0.9711538461538461,0.9791666666666666
9,0.03263473650440574,0.02713764024277528,0.041865130384954125,0.03318954445421696,0.0923039370861191,0.06051903714736303,0.9867788461538461,1.0,0.9867788461538461,1.0,0.9867788461538461,1.0,0.9867788461538461,1.0,0.96875,0.9791666666666666,0.96875,0.9791666666666666,0.96875,0.9791666666666666,0.96875,0.9791666666666666
10,0.0361439695295233,0.020415555996199448,0.042886198605768956,0.023419800214469433,0.06742228630285424,0.030042441251377266,0.984375,1.0,0.984375,1.0,0.984375,1.0,0.984375,1.0,0.9771634615384616,1.0,0.9771634615384616,1.0,0.9771634615384616,1.0,0.9771634615384616,1.0
