step,crossentropy,val crossentropy,acc,val acc,precission,val precission,recall,val recall,f1-score,val f1-score
1,2.423744981741383,1.955078710527981,0.2720118613138686,0.4880514705882353,0.2720118613138686,0.4880514705882353,0.2720118613138686,0.4880514705882353,0.2720118613138686,0.4880514705882353
2,1.6936205055591833,1.3348161332747515,0.536382299270073,0.6645220588235294,0.536382299270073,0.6645220588235294,0.536382299270073,0.6645220588235294,0.536382299270073,0.6645220588235294
3,1.2964774387596298,1.0321594196207382,0.6473540145985401,0.7279411764705882,0.6473540145985401,0.7279411764705882,0.6473540145985401,0.7279411764705882,0.6473540145985401,0.7279411764705882
4,1.083180643346188,0.851926375837887,0.6875,0.7840073529411765,0.6875,0.7840073529411765,0.6875,0.7840073529411765,0.6875,0.7840073529411765
5,0.9365679612995064,0.7607734483831069,0.7223996350364964,0.7959558823529411,0.7223996350364964,0.7959558823529411,0.7223996350364964,0.7959558823529411,0.7223996350364964,0.7959558823529411
6,0.8561256986899968,0.6916691608288709,0.7449817518248175,0.7977941176470589,0.7449817518248175,0.7977941176470589,0.7449817518248175,0.7977941176470589,0.7449817518248175,0.7977941176470589
7,0.7822611647365737,0.6479559198898428,0.7610629562043796,0.8106617647058824,0.7610629562043796,0.8106617647058824,0.7610629562043796,0.8106617647058824,0.7610629562043796,0.8106617647058824
8,0.7328657104368628,0.600332498550415,0.7806797445255474,0.8125,0.7806797445255474,0.8125,0.7806797445255474,0.8125,0.7806797445255474,0.8125
9,0.6937269325891551,0.5491841698394102,0.7876368613138686,0.8446691176470589,0.7876368613138686,0.8446691176470589,0.7876368613138686,0.8446691176470589,0.7876368613138686,0.8446691176470589
10,0.666409389380991,0.5382239765980664,0.7934534671532847,0.8290441176470589,0.7934534671532847,0.8290441176470589,0.7934534671532847,0.8290441176470589,0.7934534671532847,0.8290441176470589
