step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.9590092572496496,1.3164071157900956,0.70077484047402,0.8786496350364964,0.43022408098518955,0.5111171916453507,0.4527119416590702,0.6450729927007299,0.37606140083837963,0.5678122616814871,0.3236294004746943,0.5256933937542629,0.37606140083837963,0.5678122616814871,0.3288657602496656,0.5300648913983881
2,1.1946814690080685,0.8989051878452301,0.8827484047402006,0.9297445255474452,0.4797759024305787,0.49470676884163906,0.6509799453053783,0.7381386861313869,0.5602224852648668,0.6556583986665211,0.5332838668060933,0.6408643424510956,0.5602224852648668,0.6556583986665211,0.5308736410287422,0.6367133288052831
3,0.9177431074347188,0.7022891751606098,0.9276435733819508,0.9571167883211679,0.49057177751033876,0.5043925598372508,0.7226526891522334,0.7864963503649635,0.6390415418251276,0.7134066347005593,0.6213594597637816,0.6940944647266917,0.6390415418251276,0.7134066347005593,0.6166533696768277,0.6924915330035843
4,0.7612294458402974,0.5872996758370503,0.946330902461258,0.9744525547445255,0.4877962649493404,0.5005294154160214,0.765154968094804,0.8266423357664233,0.6844887430138662,0.7542912324849707,0.6713895614487319,0.7482736798098487,0.6844887430138662,0.7542912324849707,0.6656756807074508,0.7421940410659261
5,0.6690307019945699,0.5129618826356247,0.9618277119416591,0.9826642335766423,0.48998407184153986,0.5001138032135302,0.7922743846855059,0.843978102189781,0.7150626876811712,0.7869960172985592,0.7076940266050419,0.7864080203058076,0.7150626876811712,0.7869960172985592,0.7007722006592841,0.7777629245589249
6,0.5936154083314003,0.45724771949496584,0.9695761166818596,0.9844890510948905,0.49660252527747245,0.4959423441956513,0.8103919781221514,0.8521897810218978,0.7374587185891411,0.774657355390326,0.7298035573828948,0.7719876159281627,0.7374587185891411,0.774657355390326,0.72341501200699,0.7657077464744122
7,0.539737835356672,0.4315030860313534,0.9764129443938013,0.9890510948905109,0.4948045741647835,0.4935089201822768,0.8289653600729262,0.8604014598540146,0.7595285037320205,0.7991191781785366,0.7519466299954174,0.8006111827209919,0.7595285037320205,0.7991191781785366,0.7458387050665609,0.7917841809944515
8,0.500496853013933,0.383920011049422,0.9767547857793983,0.989963503649635,0.48954531737860485,0.5049422268014755,0.8388787602552416,0.8695255474452555,0.775850572880551,0.8123334641874271,0.772529061914251,0.8060001894070284,0.775850572880551,0.8123334641874271,0.7643437164418786,0.800276148928343
9,0.47052142821055387,0.36227572709321976,0.9767547857793983,0.9908759124087592,0.490307294355269,0.5019728006237615,0.8470829535095715,0.8822992700729927,0.7855496882930493,0.8267712473434253,0.7796777021836018,0.8304860535329276,0.7855496882930493,0.8267712473434253,0.7734928424100823,0.8206337738211138
10,0.4389269507219276,0.33715639236199596,0.9839334548769371,0.9917883211678832,0.49534611753039504,0.4907710691438104,0.856996353691887,0.8868613138686131,0.7956634716299739,0.8359712214365492,0.7933873082685167,0.833143624076008,0.7956634716299739,0.8359712214365492,0.78587950588142,0.8289316720771094
