step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.0019314726411366,0.2724657314404655,0.8769371011850501,0.9863138686131386,0.44970225316617524,0.4921113537610882,0.6737693710118505,0.9014598540145985,0.5958481254115524,0.851669867108338,0.5776221865470587,0.8392089687994797,0.5958481254115524,0.851669867108338,0.5727063528853813,0.8393839180034443
2,0.33235004834381127,0.18358477495226627,0.9843892433910666,0.9963503649635036,0.49463054605690915,0.4996237102216178,0.8878760255241568,0.9242700729927007,0.8354484080290294,0.8801677200916039,0.830443644548071,0.8791797132822718,0.8354484080290294,0.8801677200916039,0.826471845358746,0.8750888357197282
3,0.24534682010068926,0.16546826143315688,0.9891750227894257,0.9972627737226277,0.5016128867728773,0.5031169928120871,0.9193254329990884,0.9416058394160584,0.8777760522085205,0.9084883075560967,0.8748840368272178,0.9073354867252991,0.8777760522085205,0.9084883075560967,0.8713639437771974,0.9044676249044655
4,0.20358975295560844,0.12347971877791872,0.993049225159526,0.9990875912408759,0.5009612020516027,0.4912106710193801,0.9320875113947129,0.9562043795620438,0.8934703080515048,0.9222874014917082,0.8931156143125014,0.9236227047704432,0.8934703080515048,0.9222874014917082,0.8890826097921338,0.9203035626968328
5,0.1822512412714619,0.16435308232724768,0.9949863263445761,0.9963503649635036,0.49862142123193665,0.5164779431193415,0.9394940747493163,0.9370437956204379,0.9052936070706481,0.8970846477216178,0.9047722238079461,0.892707980027164,0.9052936070706481,0.8970846477216178,0.9010724134356082,0.8912148162396285
6,0.14560457436985383,0.10421585698716553,0.9965815861440291,0.9981751824817519,0.5034529220112476,0.5283334420545258,0.9503190519598906,0.9625912408759124,0.9198164991226214,0.9375651783316675,0.9184401618586743,0.9329263772407588,0.9198164991226214,0.9375651783316675,0.916256863824215,0.9333889506159038
7,0.1389143388914179,0.1796246157762281,0.9969234275296263,0.9990875912408759,0.5056288147255195,0.49839576186924955,0.952939835916135,0.9425182481751825,0.9249172414446702,0.9137136557676496,0.9242347527224037,0.9127997999643758,0.9249172414446702,0.9137136557676496,0.9216690486468504,0.9092195982480571
8,0.14583972399951756,0.15604245114825532,0.9960118505013673,0.9963503649635036,0.5076538250189861,0.5368895054298596,0.9527119416590701,0.9470802919708029,0.9252023992205927,0.9116324952048976,0.9236803916007036,0.9068749346872316,0.9252023992205927,0.9116324952048976,0.9214504995233054,0.9068920235999309
9,0.1275122043128555,0.12329442597283095,0.9972652689152234,0.9954379562043796,0.49716042499707414,0.5076950170697957,0.9582953509571559,0.9543795620437956,0.9316988324130135,0.9277966126908351,0.9330239470915677,0.9244091134436809,0.9316988324130135,0.9277966126908351,0.9296860940747622,0.9235722065842065
10,0.10606629422400311,0.075864112858791,0.9981768459434822,0.9990875912408759,0.5113481039770539,0.531850771312296,0.963081130355515,0.9726277372262774,0.9388290275305972,0.947769672766219,0.9384640351739273,0.949116561534631,0.9388290275305972,0.947769672766219,0.936517394800673,0.9468114980815971
