step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,8.599223772684732,7.473118305206299,0.32142857142857145,0.5,0.14474821418878578,0.23674243688583374,0.14285714285714285,0.25,0.08952750442993074,0.1428571492433548,0.0655148442657221,0.07738095335662365,0.08952750442993074,0.1428571492433548,0.07167724590925943,0.09693877771496773
2,8.118423779805502,6.255240201950073,0.32142857142857145,0.4375,0.15253107338434174,0.13221153989434242,0.14285714285714285,0.1875,0.10130557435609046,0.0714285746216774,0.07142155732782114,0.0535714291036129,0.10130557435609046,0.0714285746216774,0.07835211799967856,0.06122449040412903
3,7.12855323155721,7.043923616409302,0.3392857142857143,0.375,0.151215075027375,0.1497252807021141,0.13690476190476192,0.0625,0.09880694924365907,0.0625,0.07505411397488344,0.02083333395421505,0.09880694924365907,0.0625,0.07792923776876359,0.03125
4,6.8926515352158315,6.134635925292969,0.3273809523809524,0.375,0.15878983578156858,0.17748918384313583,0.125,0.125,0.08921270675602413,0.0868055559694767,0.06512918394236338,0.04976851865649223,0.08921270675602413,0.0868055559694767,0.07055876315349624,0.05902777798473835
5,6.301348731631324,5.185413122177124,0.3333333333333333,0.375,0.1420329741778828,0.11011905036866665,0.16666666666666666,0.1875,0.09134428362761225,0.046875,0.08478721639230138,0.046875,0.09134428362761225,0.046875,0.08206612811911673,0.046875
6,6.0205022266932895,5.21021294593811,0.3392857142857143,0.375,0.14892290922857465,0.17788462340831757,0.14285714285714285,0.1875,0.0946076430735134,0.0982142873108387,0.08302956136564414,0.0773809552192688,0.0946076430735134,0.0982142873108387,0.08246799327787899,0.08571428805589676
7,5.6992184321085615,5.641928195953369,0.3333333333333333,0.3125,0.14616386361774944,0.1458333358168602,0.13095238095238096,0.0625,0.09269421387995992,0.03125,0.08229885516422135,0.03125,0.09269421387995992,0.03125,0.0806239942709605,0.03125
8,5.263618514651344,5.241122484207153,0.3869047619047619,0.3125,0.15685598312744073,0.1071428656578064,0.13690476190476192,0.1875,0.08512162612307639,0.09375,0.09381571004078501,0.06250000186264515,0.08512162612307639,0.09375,0.0847064767565046,0.07500000111758709
9,5.089015858513968,5.156311750411987,0.4107142857142857,0.3125,0.19887929791141123,0.1398809589445591,0.14285714285714285,0.1875,0.09800528114040692,0.1269841305911541,0.09127027239827883,0.07539682649075985,0.09800528114040692,0.1269841305911541,0.08867043682507106,0.0941798947751522
10,4.981093179611933,4.998816967010498,0.39880952380952384,0.1875,0.1769359517132952,0.05000000447034836,0.13095238095238096,0.1875,0.08048941957808677,0.09375,0.08122535049915314,0.0729166716337204,0.08048941957808677,0.09375,0.07865360148605846,0.08124999701976776
