step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,1.0232443546599546,0.5033974304904033,0.8911804922515952,0.9790145985401459,0.46245868829713155,0.5027656826007105,0.6777575205104831,0.8302919708029197,0.5909351377714843,0.7663625448289579,0.5714681091630932,0.7559536021121227,0.5909351377714843,0.7663625448289579,0.5663389128445221,0.7511115393934459
2,0.48074956327921275,0.36207470338601266,0.9767547857793983,0.9835766423357665,0.48328062544221106,0.4755627512931824,0.8350045578851413,0.8832116788321168,0.7668500363066073,0.8137426276276581,0.7636668575603308,0.8197601831307376,0.7668500363066073,0.8137426276276581,0.7552294508098143,0.80978918597646
3,0.38942331440471717,0.2962703099066432,0.9837055606198724,0.989963503649635,0.48931270753565764,0.4748087066368465,0.8669097538742023,0.8941605839416058,0.8085932064404135,0.8473583729597773,0.8056014443704401,0.8451066078060735,0.8085932064404135,0.8473583729597773,0.7991231040945896,0.8382810162801813
4,0.33205043662037215,0.2640874399021812,0.9863263445761167,0.9936131386861314,0.485591913937653,0.4936949467136912,0.8863947128532361,0.8968978102189781,0.8318396861051144,0.8455798991405181,0.8290700781258432,0.846364861857282,0.8318396861051144,0.8455798991405181,0.8237439349986471,0.8385355220223866
5,0.31247896544547005,0.2595742534519765,0.9882634457611669,0.9881386861313869,0.4873926098116333,0.4830523653187021,0.8884457611668186,0.9023722627737226,0.8357712733767308,0.8560914266718566,0.8341381387647544,0.8530187815645315,0.8357712733767308,0.8560914266718566,0.8276439842138925,0.8479271544157153
6,0.2759836413608923,0.24569737631147795,0.9882634457611669,0.9936131386861314,0.49153344905039564,0.47709211032756055,0.9026891522333638,0.9197080291970803,0.8545671065992514,0.8817315595428439,0.8523164755013604,0.8849732688743702,0.8545671065992514,0.8817315595428439,0.8471428212406642,0.8776336312294006
7,0.2689124903925622,0.2331660660833501,0.990200546946217,0.9936131386861314,0.496970644215616,0.5022521066839678,0.9070191431175935,0.9142335766423357,0.862278840926526,0.8760905574708089,0.8599359365681029,0.8792028844791607,0.862278840926526,0.8760905574708089,0.855023601892979,0.8719626216992845
8,0.23530624082484752,0.2326332899354344,0.993049225159526,0.9954379562043796,0.5012787240086193,0.4977338944908476,0.9163628076572471,0.906021897810219,0.8724230530594519,0.8620988432943386,0.8712781079813037,0.8577728663047735,0.8724230530594519,0.8620988432943386,0.8662836893156863,0.853523936367383
9,0.2435134839112238,0.20756599153426006,0.9923655423883319,0.9954379562043796,0.5019895065721861,0.5023482885673969,0.9141978122151322,0.9224452554744526,0.8721290142186251,0.8813332847870179,0.8716300944903816,0.8803418006775153,0.8721290142186251,0.8813332847870179,0.8661152248830283,0.8752910131520598
10,0.2350987680784852,0.1933148242915593,0.9924794895168642,0.9963503649635036,0.5058027900069436,0.4939643266427256,0.9143117593436645,0.9251824817518248,0.8717892341648543,0.8880856909456044,0.870582443318154,0.8863804986442092,0.8717892341648543,0.8880856909456044,0.865502260604987,0.8818694331350118
