step,crossentropy,val crossentropy,top k micro,val top k micro,top k macro,val top k macro,acc micro,val acc micro,acc macro,val acc macro,precission macro,val precission macro,recall macro,val recall macro,f1-score macro,val f1-score macro
1,8.98888843937924,6.585001277923584,0.2631578947368421,0.325,0.11023602213122342,0.16089743971824647,0.10855263157894737,0.125,0.059941521992808895,0.09400793761014939,0.04800456076076156,0.07734127193689347,0.059941521992808895,0.09400793761014939,0.048371176872598495,0.08317460566759109
2,7.6748817217977425,5.835105276107788,0.28618421052631576,0.275,0.1281228143427717,0.12371795028448104,0.12171052631578948,0.125,0.07729503875108142,0.08928571492433549,0.07111639808863401,0.0726190485060215,0.07729503875108142,0.08928571492433549,0.06867940263136436,0.07678571492433547
3,6.981217158468146,5.503866195678711,0.27960526315789475,0.275,0.12398709484228962,0.11053113862872124,0.11513157894736842,0.125,0.07927394364225238,0.07579365223646164,0.0625810906487076,0.07123016193509102,0.07927394364225238,0.07579365223646164,0.06544325049770505,0.0668556347489357
4,6.142112396265331,4.860235786437988,0.28289473684210525,0.3,0.12645516554383854,0.16378788352012635,0.125,0.125,0.0803082532396442,0.09166666716337205,0.07887790959916617,0.06574074178934097,0.0803082532396442,0.09166666716337205,0.07466203533113003,0.07314814776182174
5,5.579964192290055,4.779505348205566,0.32894736842105265,0.275,0.1443104128304281,0.132582426071167,0.13486842105263158,0.1,0.0925897465724694,0.06583333387970924,0.08319805405641857,0.06500000059604645,0.0925897465724694,0.06583333387970924,0.08038530959502647,0.05629629716277122
6,5.0988962901266,4.361016464233399,0.29605263157894735,0.225,0.13940121831470415,0.09890110194683074,0.12171052631578948,0.1,0.08292780738127858,0.06404761970043182,0.0772515271153105,0.06357142999768257,0.08292780738127858,0.06404761970043182,0.0747753467018667,0.06119047701358795
7,4.846533681216993,4.330856847763061,0.33223684210526316,0.175,0.14530861279682109,0.08028846383094787,0.13815789473684212,0.1,0.09162632189691067,0.06666666716337204,0.09154894928398885,0.0555555559694767,0.09162632189691067,0.06666666716337204,0.0869515654876044,0.05925925970077515
8,4.3690948047136,4.014197158813476,0.3684210526315789,0.225,0.1652538737184123,0.1335164874792099,0.14473684210526316,0.125,0.09543413585542064,0.0969444453716278,0.09703401613392328,0.0969444453716278,0.09543413585542064,0.0969444453716278,0.08975364767799252,0.0969444453716278
9,4.2118398829510335,3.7946276664733887,0.35855263157894735,0.25,0.15596469040764005,0.10363248027861119,0.14802631578947367,0.125,0.10407773508249145,0.07083333730697632,0.11075715416748273,0.07916666865348816,0.10407773508249145,0.07083333730697632,0.0995532606581324,0.07440476417541504
10,3.9719673520640324,3.7504923343658447,0.3256578947368421,0.225,0.14343531635638915,0.07164502367377282,0.14802631578947367,0.125,0.09523651464597176,0.06916666775941849,0.10741975031008846,0.09000000059604644,0.09523651464597176,0.06916666775941849,0.09504889422341396,0.07666666805744171
